FolderServerRelativeURL,Users,Permission
/sites/UX-Portal/Business/Implementation/HE CIPD/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 1/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 2/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Level 3/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Quality/Academic Board Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Quality/Board Of Study,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Quality/Course Reviews,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Quality/EV Reports,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Quality/Position Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Quality/SAR & QIP,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/Development Plan,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/Health & Safety,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/Organisational Chart,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/Planning Calendar,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/School Meetings,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/Staff Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/School Information/Teaching & Learning Hour,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Working Folder,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Applications/Entry Test Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Applications/Fact Sheets,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Applications/Marketing ,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Applications/Taster Day Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Impact/Destinations,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Impact/Results,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Impact/Student Voice,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Impact/Value Added & Progress,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
